File path,labels
F:\Similar Image Finder\dataset\0.jpg,0
F:\Similar Image Finder\dataset\1.jpg,3
F:\Similar Image Finder\dataset\10.jpg,3
F:\Similar Image Finder\dataset\100.jpg,1
F:\Similar Image Finder\dataset\1000.jpg,3
F:\Similar Image Finder\dataset\1001.jpg,3
F:\Similar Image Finder\dataset\1002.jpg,3
F:\Similar Image Finder\dataset\1003.jpg,1
F:\Similar Image Finder\dataset\1004.jpg,2
F:\Similar Image Finder\dataset\1005.jpg,3
F:\Similar Image Finder\dataset\1006.jpg,0
F:\Similar Image Finder\dataset\1007.jpg,3
F:\Similar Image Finder\dataset\1008.jpg,1
F:\Similar Image Finder\dataset\1009.jpg,2
F:\Similar Image Finder\dataset\101.jpg,0
F:\Similar Image Finder\dataset\1010.jpg,2
F:\Similar Image Finder\dataset\1011.jpg,1
F:\Similar Image Finder\dataset\1012.jpg,3
F:\Similar Image Finder\dataset\1013.jpg,0
F:\Similar Image Finder\dataset\1014.jpg,3
F:\Similar Image Finder\dataset\1015.jpg,3
F:\Similar Image Finder\dataset\1016.jpg,3
F:\Similar Image Finder\dataset\1017.jpg,2
F:\Similar Image Finder\dataset\1018.jpg,3
F:\Similar Image Finder\dataset\1019.jpg,3
F:\Similar Image Finder\dataset\102.jpg,1
F:\Similar Image Finder\dataset\1020.jpg,3
F:\Similar Image Finder\dataset\1021.jpg,1
F:\Similar Image Finder\dataset\1022.jpg,2
F:\Similar Image Finder\dataset\1023.jpg,1
F:\Similar Image Finder\dataset\1024.jpg,2
F:\Similar Image Finder\dataset\1025.jpg,3
F:\Similar Image Finder\dataset\1026.jpg,1
F:\Similar Image Finder\dataset\1027.jpg,3
F:\Similar Image Finder\dataset\1028.jpg,1
F:\Similar Image Finder\dataset\1029.jpg,3
F:\Similar Image Finder\dataset\103.jpg,3
F:\Similar Image Finder\dataset\1030.jpg,1
F:\Similar Image Finder\dataset\1031.jpg,0
F:\Similar Image Finder\dataset\1032.jpg,2
F:\Similar Image Finder\dataset\1033.jpg,3
F:\Similar Image Finder\dataset\1034.jpg,2
F:\Similar Image Finder\dataset\1035.jpg,1
F:\Similar Image Finder\dataset\1036.jpg,0
F:\Similar Image Finder\dataset\1037.jpg,2
F:\Similar Image Finder\dataset\1038.jpg,1
F:\Similar Image Finder\dataset\1039.jpg,0
F:\Similar Image Finder\dataset\104.jpg,3
F:\Similar Image Finder\dataset\1040.jpg,2
F:\Similar Image Finder\dataset\1041.jpg,0
F:\Similar Image Finder\dataset\1042.jpg,1
F:\Similar Image Finder\dataset\1043.jpg,3
F:\Similar Image Finder\dataset\1044.jpg,2
F:\Similar Image Finder\dataset\1045.jpg,3
F:\Similar Image Finder\dataset\1046.jpg,1
F:\Similar Image Finder\dataset\1047.jpg,3
F:\Similar Image Finder\dataset\1048.jpg,0
F:\Similar Image Finder\dataset\1049.jpg,2
F:\Similar Image Finder\dataset\105.jpg,1
F:\Similar Image Finder\dataset\1050.jpg,0
F:\Similar Image Finder\dataset\1051.jpg,3
F:\Similar Image Finder\dataset\1052.jpg,1
F:\Similar Image Finder\dataset\1053.jpg,0
F:\Similar Image Finder\dataset\1054.jpg,1
F:\Similar Image Finder\dataset\1055.jpg,1
F:\Similar Image Finder\dataset\1056.jpg,0
F:\Similar Image Finder\dataset\1057.jpg,1
F:\Similar Image Finder\dataset\1058.jpg,1
F:\Similar Image Finder\dataset\1059.jpg,2
F:\Similar Image Finder\dataset\106.jpg,0
F:\Similar Image Finder\dataset\1060.jpg,1
F:\Similar Image Finder\dataset\1061.jpg,3
F:\Similar Image Finder\dataset\1062.jpg,0
F:\Similar Image Finder\dataset\1063.jpg,3
F:\Similar Image Finder\dataset\1064.jpg,1
F:\Similar Image Finder\dataset\1065.jpg,3
F:\Similar Image Finder\dataset\1066.jpg,0
F:\Similar Image Finder\dataset\1067.jpg,3
F:\Similar Image Finder\dataset\1068.jpg,2
F:\Similar Image Finder\dataset\1069.jpg,3
F:\Similar Image Finder\dataset\107.jpg,3
F:\Similar Image Finder\dataset\1070.jpg,1
F:\Similar Image Finder\dataset\1071.jpg,0
F:\Similar Image Finder\dataset\1072.jpg,2
F:\Similar Image Finder\dataset\1073.jpg,3
F:\Similar Image Finder\dataset\1074.jpg,1
F:\Similar Image Finder\dataset\1075.jpg,0
F:\Similar Image Finder\dataset\1076.jpg,0
F:\Similar Image Finder\dataset\1077.jpg,2
F:\Similar Image Finder\dataset\1078.jpg,1
F:\Similar Image Finder\dataset\1079.jpg,0
F:\Similar Image Finder\dataset\108.jpg,0
F:\Similar Image Finder\dataset\1080.jpg,1
F:\Similar Image Finder\dataset\1081.jpg,1
F:\Similar Image Finder\dataset\1082.jpg,1
F:\Similar Image Finder\dataset\1083.jpg,1
F:\Similar Image Finder\dataset\1084.jpg,2
F:\Similar Image Finder\dataset\1085.jpg,3
F:\Similar Image Finder\dataset\1086.jpg,0
F:\Similar Image Finder\dataset\1087.jpg,1
F:\Similar Image Finder\dataset\1088.jpg,3
F:\Similar Image Finder\dataset\1089.jpg,1
F:\Similar Image Finder\dataset\109.jpg,2
F:\Similar Image Finder\dataset\1090.jpg,3
F:\Similar Image Finder\dataset\1091.jpg,3
F:\Similar Image Finder\dataset\1092.jpg,0
F:\Similar Image Finder\dataset\1093.jpg,0
F:\Similar Image Finder\dataset\1094.jpg,2
F:\Similar Image Finder\dataset\1095.jpg,3
F:\Similar Image Finder\dataset\1096.jpg,3
F:\Similar Image Finder\dataset\1097.jpg,0
F:\Similar Image Finder\dataset\1098.jpg,3
F:\Similar Image Finder\dataset\1099.jpg,1
F:\Similar Image Finder\dataset\11.jpg,3
F:\Similar Image Finder\dataset\110.jpg,3
F:\Similar Image Finder\dataset\1100.jpg,3
F:\Similar Image Finder\dataset\1101.jpg,1
F:\Similar Image Finder\dataset\1102.jpg,1
F:\Similar Image Finder\dataset\1103.jpg,3
F:\Similar Image Finder\dataset\1104.jpg,3
F:\Similar Image Finder\dataset\1105.jpg,2
F:\Similar Image Finder\dataset\1106.jpg,0
F:\Similar Image Finder\dataset\1107.jpg,2
F:\Similar Image Finder\dataset\1108.jpg,0
F:\Similar Image Finder\dataset\1109.jpg,1
F:\Similar Image Finder\dataset\111.jpg,3
F:\Similar Image Finder\dataset\1110.jpg,2
F:\Similar Image Finder\dataset\1111.jpg,1
F:\Similar Image Finder\dataset\1112.jpg,0
F:\Similar Image Finder\dataset\1113.jpg,2
F:\Similar Image Finder\dataset\1114.jpg,1
F:\Similar Image Finder\dataset\1115.jpg,2
F:\Similar Image Finder\dataset\1116.jpg,3
F:\Similar Image Finder\dataset\1117.jpg,3
F:\Similar Image Finder\dataset\1118.jpg,1
F:\Similar Image Finder\dataset\1119.jpg,1
F:\Similar Image Finder\dataset\112.jpg,3
F:\Similar Image Finder\dataset\1120.jpg,3
F:\Similar Image Finder\dataset\1121.jpg,1
F:\Similar Image Finder\dataset\1122.jpg,1
F:\Similar Image Finder\dataset\1123.jpg,1
F:\Similar Image Finder\dataset\1124.jpg,1
F:\Similar Image Finder\dataset\1125.jpg,2
F:\Similar Image Finder\dataset\1126.jpg,3
F:\Similar Image Finder\dataset\1127.jpg,0
F:\Similar Image Finder\dataset\1128.jpg,1
F:\Similar Image Finder\dataset\1129.jpg,3
F:\Similar Image Finder\dataset\113.jpg,3
F:\Similar Image Finder\dataset\1130.jpg,0
F:\Similar Image Finder\dataset\1131.jpg,2
F:\Similar Image Finder\dataset\1132.jpg,2
F:\Similar Image Finder\dataset\1133.jpg,3
F:\Similar Image Finder\dataset\1134.jpg,1
F:\Similar Image Finder\dataset\1135.jpg,3
F:\Similar Image Finder\dataset\1136.jpg,0
F:\Similar Image Finder\dataset\1137.jpg,2
F:\Similar Image Finder\dataset\1138.jpg,0
F:\Similar Image Finder\dataset\1139.jpg,0
F:\Similar Image Finder\dataset\114.jpg,1
F:\Similar Image Finder\dataset\1140.jpg,3
F:\Similar Image Finder\dataset\1141.jpg,0
F:\Similar Image Finder\dataset\1142.jpg,1
F:\Similar Image Finder\dataset\1143.jpg,1
F:\Similar Image Finder\dataset\1144.jpg,1
F:\Similar Image Finder\dataset\1145.jpg,3
F:\Similar Image Finder\dataset\1146.jpg,3
F:\Similar Image Finder\dataset\1147.jpg,1
F:\Similar Image Finder\dataset\1148.jpg,0
F:\Similar Image Finder\dataset\1149.jpg,3
F:\Similar Image Finder\dataset\115.jpg,1
F:\Similar Image Finder\dataset\1150.jpg,0
F:\Similar Image Finder\dataset\1151.jpg,1
F:\Similar Image Finder\dataset\1152.jpg,2
F:\Similar Image Finder\dataset\1153.jpg,1
F:\Similar Image Finder\dataset\1154.jpg,1
F:\Similar Image Finder\dataset\1155.jpg,3
F:\Similar Image Finder\dataset\1156.jpg,0
F:\Similar Image Finder\dataset\1157.jpg,2
F:\Similar Image Finder\dataset\1158.jpg,2
F:\Similar Image Finder\dataset\1159.jpg,0
F:\Similar Image Finder\dataset\116.jpg,0
F:\Similar Image Finder\dataset\1160.jpg,3
F:\Similar Image Finder\dataset\1161.jpg,0
F:\Similar Image Finder\dataset\1162.jpg,3
F:\Similar Image Finder\dataset\1163.jpg,1
F:\Similar Image Finder\dataset\1164.jpg,3
F:\Similar Image Finder\dataset\1165.jpg,3
F:\Similar Image Finder\dataset\1166.jpg,1
F:\Similar Image Finder\dataset\1167.jpg,1
F:\Similar Image Finder\dataset\1168.jpg,2
F:\Similar Image Finder\dataset\1169.jpg,1
F:\Similar Image Finder\dataset\117.jpg,1
F:\Similar Image Finder\dataset\1170.jpg,3
F:\Similar Image Finder\dataset\1171.jpg,3
F:\Similar Image Finder\dataset\1172.jpg,3
F:\Similar Image Finder\dataset\1173.jpg,2
F:\Similar Image Finder\dataset\1174.jpg,1
F:\Similar Image Finder\dataset\1175.jpg,2
F:\Similar Image Finder\dataset\1176.jpg,3
F:\Similar Image Finder\dataset\1177.jpg,3
F:\Similar Image Finder\dataset\1178.jpg,0
F:\Similar Image Finder\dataset\1179.jpg,3
F:\Similar Image Finder\dataset\118.jpg,3
F:\Similar Image Finder\dataset\1180.jpg,0
F:\Similar Image Finder\dataset\1181.jpg,3
F:\Similar Image Finder\dataset\1182.jpg,0
F:\Similar Image Finder\dataset\1183.jpg,3
F:\Similar Image Finder\dataset\1184.jpg,0
F:\Similar Image Finder\dataset\1185.jpg,2
F:\Similar Image Finder\dataset\1186.jpg,3
F:\Similar Image Finder\dataset\1187.jpg,1
F:\Similar Image Finder\dataset\1188.jpg,1
F:\Similar Image Finder\dataset\1189.jpg,1
F:\Similar Image Finder\dataset\119.jpg,0
F:\Similar Image Finder\dataset\1190.jpg,2
F:\Similar Image Finder\dataset\1191.jpg,1
F:\Similar Image Finder\dataset\1192.jpg,3
F:\Similar Image Finder\dataset\1193.jpg,0
F:\Similar Image Finder\dataset\1194.jpg,1
F:\Similar Image Finder\dataset\1195.jpg,1
F:\Similar Image Finder\dataset\1196.jpg,3
F:\Similar Image Finder\dataset\1197.jpg,3
F:\Similar Image Finder\dataset\1198.jpg,0
F:\Similar Image Finder\dataset\1199.jpg,0
F:\Similar Image Finder\dataset\12.jpg,0
F:\Similar Image Finder\dataset\120.jpg,3
F:\Similar Image Finder\dataset\1200.jpg,0
F:\Similar Image Finder\dataset\1201.jpg,0
F:\Similar Image Finder\dataset\1202.jpg,3
F:\Similar Image Finder\dataset\1203.jpg,3
F:\Similar Image Finder\dataset\1204.jpg,1
F:\Similar Image Finder\dataset\1205.jpg,2
F:\Similar Image Finder\dataset\1206.jpg,1
F:\Similar Image Finder\dataset\1207.jpg,3
F:\Similar Image Finder\dataset\1208.jpg,0
F:\Similar Image Finder\dataset\1209.jpg,3
F:\Similar Image Finder\dataset\121.jpg,1
F:\Similar Image Finder\dataset\1210.jpg,2
F:\Similar Image Finder\dataset\1211.jpg,0
F:\Similar Image Finder\dataset\1212.jpg,1
F:\Similar Image Finder\dataset\1213.jpg,2
F:\Similar Image Finder\dataset\1214.jpg,0
F:\Similar Image Finder\dataset\1215.jpg,1
F:\Similar Image Finder\dataset\1216.jpg,1
F:\Similar Image Finder\dataset\1217.jpg,2
F:\Similar Image Finder\dataset\1218.jpg,1
F:\Similar Image Finder\dataset\1219.jpg,1
F:\Similar Image Finder\dataset\122.jpg,1
F:\Similar Image Finder\dataset\1220.jpg,1
F:\Similar Image Finder\dataset\1221.jpg,1
F:\Similar Image Finder\dataset\1222.jpg,1
F:\Similar Image Finder\dataset\1223.jpg,2
F:\Similar Image Finder\dataset\1224.jpg,2
F:\Similar Image Finder\dataset\1225.jpg,3
F:\Similar Image Finder\dataset\1226.jpg,0
F:\Similar Image Finder\dataset\1227.jpg,0
F:\Similar Image Finder\dataset\1228.jpg,3
F:\Similar Image Finder\dataset\1229.jpg,2
F:\Similar Image Finder\dataset\123.jpg,0
F:\Similar Image Finder\dataset\1230.jpg,2
F:\Similar Image Finder\dataset\1231.jpg,1
F:\Similar Image Finder\dataset\1232.jpg,3
F:\Similar Image Finder\dataset\1233.jpg,3
F:\Similar Image Finder\dataset\1234.jpg,1
F:\Similar Image Finder\dataset\1235.jpg,0
F:\Similar Image Finder\dataset\1236.jpg,1
F:\Similar Image Finder\dataset\1237.jpg,2
F:\Similar Image Finder\dataset\1238.jpg,3
F:\Similar Image Finder\dataset\1239.jpg,3
F:\Similar Image Finder\dataset\124.jpg,0
F:\Similar Image Finder\dataset\1240.jpg,3
F:\Similar Image Finder\dataset\1241.jpg,1
F:\Similar Image Finder\dataset\1242.jpg,3
F:\Similar Image Finder\dataset\1243.jpg,3
F:\Similar Image Finder\dataset\1244.jpg,1
F:\Similar Image Finder\dataset\1245.jpg,3
F:\Similar Image Finder\dataset\1246.jpg,3
F:\Similar Image Finder\dataset\1247.jpg,0
F:\Similar Image Finder\dataset\1248.jpg,1
F:\Similar Image Finder\dataset\1249.jpg,3
F:\Similar Image Finder\dataset\125.jpg,1
F:\Similar Image Finder\dataset\1250.jpg,0
F:\Similar Image Finder\dataset\1251.jpg,1
F:\Similar Image Finder\dataset\1252.jpg,2
F:\Similar Image Finder\dataset\1253.jpg,2
F:\Similar Image Finder\dataset\1254.jpg,1
F:\Similar Image Finder\dataset\1255.jpg,1
F:\Similar Image Finder\dataset\1256.jpg,1
F:\Similar Image Finder\dataset\1257.jpg,3
F:\Similar Image Finder\dataset\1258.jpg,0
F:\Similar Image Finder\dataset\1259.jpg,2
F:\Similar Image Finder\dataset\126.jpg,1
F:\Similar Image Finder\dataset\1260.jpg,0
F:\Similar Image Finder\dataset\1261.jpg,2
F:\Similar Image Finder\dataset\1262.jpg,0
F:\Similar Image Finder\dataset\1263.jpg,3
F:\Similar Image Finder\dataset\1264.jpg,0
F:\Similar Image Finder\dataset\1265.jpg,2
F:\Similar Image Finder\dataset\1266.jpg,1
F:\Similar Image Finder\dataset\1267.jpg,0
F:\Similar Image Finder\dataset\1268.jpg,0
F:\Similar Image Finder\dataset\1269.jpg,0
F:\Similar Image Finder\dataset\127.jpg,3
F:\Similar Image Finder\dataset\1270.jpg,2
F:\Similar Image Finder\dataset\1271.jpg,3
F:\Similar Image Finder\dataset\1272.jpg,0
F:\Similar Image Finder\dataset\1273.jpg,1
F:\Similar Image Finder\dataset\1274.jpg,0
F:\Similar Image Finder\dataset\1275.jpg,2
F:\Similar Image Finder\dataset\1276.jpg,0
F:\Similar Image Finder\dataset\1277.jpg,0
F:\Similar Image Finder\dataset\1278.jpg,3
F:\Similar Image Finder\dataset\1279.jpg,2
F:\Similar Image Finder\dataset\128.jpg,3
F:\Similar Image Finder\dataset\1280.jpg,0
F:\Similar Image Finder\dataset\1281.jpg,0
F:\Similar Image Finder\dataset\1282.jpg,3
F:\Similar Image Finder\dataset\1283.jpg,1
F:\Similar Image Finder\dataset\1284.jpg,0
F:\Similar Image Finder\dataset\1285.jpg,3
F:\Similar Image Finder\dataset\1286.jpg,0
F:\Similar Image Finder\dataset\1287.jpg,3
F:\Similar Image Finder\dataset\1288.jpg,1
F:\Similar Image Finder\dataset\1289.jpg,1
F:\Similar Image Finder\dataset\129.jpg,0
F:\Similar Image Finder\dataset\1290.jpg,2
F:\Similar Image Finder\dataset\1291.jpg,1
F:\Similar Image Finder\dataset\1292.jpg,3
F:\Similar Image Finder\dataset\1293.jpg,0
F:\Similar Image Finder\dataset\1294.jpg,2
F:\Similar Image Finder\dataset\1295.jpg,1
F:\Similar Image Finder\dataset\1296.jpg,1
F:\Similar Image Finder\dataset\1297.jpg,2
F:\Similar Image Finder\dataset\1298.jpg,0
F:\Similar Image Finder\dataset\1299.jpg,2
